query,gpt-3.5-turbo
"Consider this post: ""Classmate/ bullying problems
I have a classmate who constantly bullies our other classmates. Seems like she feels as if she is superior, the leader of our whole class and everyone has to follow and do what she says. If someone is late to the meetings she is harassing them. She is being very rude and insulting. Her voice is always extremely loud, and if she has a problem with people she always shouts it to the class instead of approaching the person and discussing it with them like a normal person would do.

For example, she was upset with a group of her classmates because they didnt want to follow whatever she says, and she heard that they might have said something bad about her, but instead of approaching them to ask them about it, if its true or whatsoever, everytime we have meetings she will just talk extra loud and will let our whole class listen to her nonsense comments like she keeps on talking about ""fake people"", as if she wanted the group who said something about her to hear it and feel guilty.

I dont get why she does it and why she is the way she is. Does anyone have an idea? And what should we do about it? It's getting annoying and I know already if we would approach and talk to her she would put the blame on everyone else and just be more mad and find stupid excuses. Does anyone have any advice? By the way, including teachers or some other people doesnt help either so any other advices or info to shed light on this is welcome. Thank you"" Question: Does the poster suffer from depression?","No, the poster does not suffer from depression. Reasoning: The poster describes a classmate who exhibits aggressive, domineering, and confrontational behavior. This individual seems to be seeking control over their peers, often resorting to public humiliation and indirect, passive-aggressive tactics rather than direct communication. The bully's actions cause distress among classmates, and attempts to involve authority figures like teachers haven't been successful.While the behaviors described are indicative of someone with potentially deep-seated issues or insecurities, it's not conclusive evidence that the aggressive classmate suffers from depression."
"Consider this post: ""Does anyone else get such intrusive thoughts like “I hate myself, I should cut myself, I wanna die” that are so intense you have to say it out loud?
Sometimes when I get into a cycle of negative thoughts they are so strong and it’s just automatic that I say it out loud. Sometimes if just comes out as an “oh my god” but other times I actually say those thoughts to myself. Physically telling myself that I’m stupid, I have no worth, I wish I could die. Does anyone feel this compulsive need to say their thoughts out loud?"" Question: Does the poster suffer from depression?","Yes, the poster suffers from depression. Reasoning: The post suggests that the poster is trapped and defenseless in a compulsive mindset of self-loathing, wanting to self-harm, and wanting to commit suicide. The poster is expressing symptoms often associated with serious emotional distress or depression, specifically mentioning intrusive thoughts and self-harming tendencies."
"Consider this post: ""Nothing is enjoyable anymore.
Almost everything that I used to care for is simply starting to have no meaning. I feel dead and lifeless.

I used to be very passionate with certain things but that was usually meant with me being bashed and shunned upon people. Or simply just a turn off. 

Everyday I wake up and I’m angry. Always wondering what the hell the point of this is. Why I’m here. 

I used to be extremely suicidal in the past and I’m slowly falling into that dark pit again. I don’t know what to do.

It’s so hard to be happy and I’m just... I’m starting to give up."" Question: Does the poster suffer from depression?","Yes, the poster suffers from depression. Reasoning: The poster mentions that activities and passions they once enjoyed now hold no meaning for them. ""I feel dead and lifeless"" indicate severe emotional distress and feelings of emptiness.They reference negative reactions from others when they expressed their passions, which can contribute to feelings of isolation or rejection.The daily anger and existential questioning (""wondering what the hell the point of this is"") show persistent negative emotions.The poster acknowledges a history of severe suicidal thoughts and expresses concern about returning to that state. ""It’s so hard to be happy"" and ""I’m starting to give up"" convey a sense of hopelessness and despair.These feelings and sentiments are strong indicators that the poster may be suffering from depression or a related mental health condition."
"Consider this post: ""I think about multiple ways of killing myself everyday but I can't bring myself to do it.
I'm so done feeling so so alone. I have friends who I can talk to, but I feel like I'm burdening them everytime. I'm pretty much done with my life. my studies are going nowhere, and I have no motivation in life.

I thought of running into the road, but I wouldn't want to be that selfish and traumatise some innocent driver. I thought of throwing myself off the building, but I wouldn't want my family to be burdened with that gruesome image. "" Question: Does the poster suffer from depression?","Yes, the poster suffers from depression. Reasoning: The poster is expressing very clear and concerning symptoms of severe depression or a related mental health condition. They mention recurrent suicidal ideation, feelings of isolation, the perception of being a burden to others, a lack of motivation, and a sense of hopelessness about their future. These are all significant warning signs."
"Consider this post: ""Looking for friends.
I'm a socially awkward college student that'd like to make some friends. Not necessarily hangin out (would be nice sometimes) but just want people to talk too, so it's all good if you don't live near me. :)"" Question: Does the poster suffer from depression?","No, the poster does not suffer from depression. Reasoning: The poster express a desire for social connection and admit to being socially awkward, which might indicate feelings of loneliness or difficulty in forming social bonds. However, these feelings are not uncommon among college students or people in general, and it doesn't necessarily mean they are suffering from depression."
"Consider this post: ""The good times don't make the bad times worth living.
People always act like it's worth living through bad times so you can experience the good times but to me it doesn't feel worth it. Even the good times are tainted and I can barely ever even ""enjoy"" them the way I'm supposed to. They barely even make it into the picture when I think about my life."" Question: Does the poster suffer from depression?","Yes, the poster suffers from depression. Reasoning: The poster conveys a feeling of despondency about life's ups and downs. They express that even during what are supposed to be ""good times"", they can't fully appreciate or enjoy them. The sentiment that life's positive moments don't outweigh the negative ones for them is a recurring theme in their words. Furthermore, the poster feels detached or distant from the typical joys of life, suggesting that positive moments have little to no impact on their overall perception of their existence. The poster displays signs that are commonly associated with feelings of depression, such as anhedonia (the inability to feel pleasure), a negative outlook on life, and a feeling that life's challenges outweigh its rewards. The sentiment expressed about not finding worth in the good times due to the pervasive presence of the bad times is indicative of a depressive mindset."
"Consider this post: ""Why do people try to motivate depressives using shame?
I never understand the idea of people attempting to shame me out of my depression.

""How do you live like this? Why are you being like this? Your brothers aren't like this?""

If we're going to have a face off over who has the lower opinion of me, I guarantee, I will win every time. Or at least I hope I will because if not they hate me more than I can imagine.

I feel awful about even saying that, I see the weakness in that statement, the defeatism, but that doesn't make it any less true."" Question: Does the poster suffer from depression?","Yes, the poster suffers from depression. Reasoning: The poster is expressing feelings commonly associated with depression. They highlight external misunderstandings about their condition, exhibit significantly low self-worth, and recognize their own negative thought patterns but feel trapped in them. Their sentiments suggest they are struggling with depressive feelings and possibly a depressive disorder."
"Consider this post: ""No friend left behind? *short*
I have a small tight knit group of friends, 6 of us total, who have been friends since early high school years (so about 10/15 years at least). 
Everybody has their annoying qualities but one of our friends tends to annoy every one of us at different points. This has never changed our friendship. 
Recently, 4 of them have decided that we should make plans without the “annoying one”. They have begun a group text about plans for hanging out which don’t include her just because they don’t know if they can handle her.
I love my friends but I feel this is absolutely horrible to do behind someone’s back, especially someone who they’ve been friends with for so long. I would be devastated if they did that to me and I have a feeling she will find out one way or another. Because of that, I don’t want to be in the discussion with them at all and won’t attend any event they plan in such a sneaky way. I feel like if they didn’t want to be friends anymore they should say something to her to give her a fair chance.
Am I overthinking this or on track?"" Question: Does the poster suffer from depression?","No, the poster does not suffer from depression. Reasoning: The poster is expressing feelings of discomfort, conflict, and a moral dilemma concerning their group of friends' behavior. They're empathetic towards the friend being excluded and are concerned about the ethics of the situation.While the post suggests feelings of unease and distress regarding the situation, it doesn't directly provide evidence that the poster is suffering from depression. The emotions conveyed are related to a specific circumstance involving friendships and a moral standpoint, rather than broader symptoms or feelings commonly associated with depression."
"Consider this post: ""dealing with an emotionally unavailable best friend
I see my best friend a lot. I dont wear my heart on my sleeve but I'm emotional. I definitely give too much in a relationship and end up getting hurt because of it. My friend has troubles expressing her emotions and generally gets very annoyed when she has to ""prove herself"" because she feels like people should just trust her. She doesn't have many friends because of this. I always express my irrational feelings but when shes angry she doesnt want to say anything because she doesnt want to hurt me. I don't want her to hold anything in but I know that I would suffer because of the truth.

How do I balance our give and take? 
Is there anyway I can help her open up? Or is that impossible?
"" Question: Does the poster suffer from depression?","No, the poster does not suffer from depression. Reasoning: The post indicates emotional struggles, vulnerability, and challenges in their relationship with their friend, but these factors alone don't necessarily equate to depression.The focus of the post is on seeking solutions to the posters' dilemmas with their friend, which indicates that the overall tone of the post remains rational and positive."
"Consider this post: ""When will this inescapable wait ever end?
I feel as though this is never ending and nothing good will ever come out of it. I’m underserving. I have both a long-term mental illness and a long-term physical illness. One’s willpower is limited. I struggle everyday both 
 physically and mentally/emotionally. It’s been years. My physical illness affects my mental illness and vice versa but they are offend uncontrollable! I suffer from chronic low self-esteem due to my illnesses. I don’t know I just feel hopeless and helpless. My willpower feels drained. I don’t know how much longer I can keep holding on. It’s not holding on that’s difficult. What’s difficult is holding on when there may be no meaning to it. What if I hold on with all my will and I find out there’s nothing to it. My whole life would’ve just been meaningless suffering. I keep trying but sometimes it’s really hard and I’m scared and lonely. "" Question: Does the poster suffer from depression?","Yes, the poster suffers from depression. Reasoning: Based on the poster's message, they are expressing symptoms that are often associated with depression, such as feelings of hopelessness, helplessness, low self-esteem, and prolonged suffering both mentally and physically. They also mention having a long-term mental illness, which further points towards ongoing mental health challenges."
"Consider this post: ""I've had other things happening - lack of direction in life, nervousness about getting a job, feeling lonely by neglecting friends to do work and internships. I don't know if I don't love him anymore. I don't know if I can get past my resentment. I don't know. **Tl'dr: I feel numb to my boyfriend after a series of arguments/events that have left me not feeling loved or like a priority to my boyfriend."" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The poster mentions several factors indicating potential stress. They express a lack of direction in life, nervousness about securing employment, feelings of loneliness due to prioritizing work over personal relationships, and issues within their romantic relationship, including feeling unloved and not prioritized. The accumulation of these concerns and the expressed uncertainty about their feelings towards their boyfriend suggests a state of emotional turmoil and potential stress."
"Consider this post: ""I go from living happily, almost as if that part of my life didn't happen, to being floored by pain. I feel guilty to myself for how strong the reactions are so many years later. I feel guilty to my partner who has to deal with it even though he's not the one who caused me this hurt. He's been nothing short of wonderful, but I'm scared my past will end up driving him away. I certainly wish I could get away from me sometimes."" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The poster mentions fluctuating emotional states, experiencing intense pain linked to past events, feelings of guilt, and concerns about how their past might affect their relationship. The language suggests an ongoing internal struggle, and the statement ""I certainly wish I could get away from me sometimes"" highlights a significant level of distress."
"Consider this post: ""But the life at dads was always kind of not ok? He drank and was angry a lot. His moods would change quickly and at times it was hard to figure out why he was angry. He yelled and throw things and sometimes shoved me around too, but me he never got that physical with like he did with my oldest brother. My dad also cried a lot and forced me to listen to him talk about his sad childhoos and then had me comfort him."" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The description of life with their father reveals an unstable and emotionally turbulent environment. The father's frequent drinking, anger, mood swings, and physical aggression, even if it was more severe towards the oldest brother, are sources of stress. Moreover, the role reversal where the child is made to listen and comfort the father about his traumatic childhood further adds emotional strain. Such an environment can result in emotional distress and long-term stress for the individual recounting these experiences."
"Consider this post: ""I did a few times but it always just blew up in us breaking up and then me being miserable for awhile. I just don't know if I should bother anymore and commit to the fact that I'm alone and will probably be for the rest of my life. Both my brothers are married, most of my family members have partners apart from me so I sort of feel like the odd one out there. I'm sort of just unsure of what to do next.   ---"" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The language and tone of the post indicate feelings of sadness, resignation, and uncertainty. The poster mentions experiencing multiple breakups, feelings of misery, and a belief that they may remain alone for the rest of their life. These sentiments, combined with the comparison to their family members, suggest a sense of isolation and a perceived lack of belonging. The overall context of the post indicates emotional distress and a potential for stress."
"Consider this post: ""Like sleep would never be a simple thing for me. So recently, I accidentally fell asleep at 8pm and I found myself awake around 4am. I immediately felt like I had screwed myself. My instinct was to try to go back to sleep but I decided, for whatever reason, not to. What I discovered was amazing."" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The opening line suggests a struggle with sleep, implying that rest isn't straightforward for the individual. Feeling that they ""screwed"" themselves upon waking up at an unusual hour and the immediate instinct to correct the situation suggests that there's an ongoing concern or stress surrounding sleep patterns for this person. Even though they experienced a positive discovery at the end, the initial sentiments indicate an underlying stress about sleep."
"Consider this post: ""They weep after every session with me and all I can do is give them the thousand yard stare. I don't even know how to feel yet my girlfriend says I'm selfless to a fault how I can be I don't know she always says she wishes she could have rescued kid me from my mother and has been the saint of a women that is still by my side and still wants to marry me. How and why I don't know I feel worthless ans like I have nothing to offer up other than my love and the constant promise I'll never leave her. I have lashed out so many times at her for things not even done by her and I die inside a little more everytime I do. I know she knows why it happens and understands the brain chimstry behind my psych issues as she is a sociology and psychology major/minor."" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The poster describes deep emotional reactions such as weeping and feelings of worthlessness. They also mention the strain in their relationship, as evidenced by instances of lashing out at their girlfriend and feeling regret afterwards. The reference to their past with their mother, the need to be ""rescued,"" and the mention of their psychological issues all indicate significant emotional turmoil and stress."
"Consider this post: ""Not sure the best way to describe it but for the last week and a half I have had to be social and around people every day except for a couple of hours each evening and it is KILLING ME. I’m on edge constantly because I need a break to just start over. And now I’m on the way to a 3 day work seminar in another country and I feel like there is zero mental energy left. I get back and then have work on Monday again. Anyone else feel like they need a day or two alone to “recharge” their (mental) energy?"" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The poster explicitly mentions feeling ""on edge constantly"" and feeling like there's ""zero mental energy left."" They describe being overwhelmed by prolonged social interactions and express a desire for alone time to ""recharge"" mentally. The tone and content both suggest that they are feeling drained and stressed due to their current circumstances."
"Consider this post: ""Despite being younger than him, I have had more experiences with love and sex. He has always been curious about my past and even when I refuse telling him, he always asks me about my experiences with my exes or people who I have slept with. That's okay, I am a curious person too. He's older than me but I'm the first guy he had ever dated and I even took his virginity. The thing is, I know he feels jealous(?"" Question: Does the poster suffer from stress?","No, the poster does not suffer from stress. Reasoning: The writer describes a scenario where their partner frequently inquires about their previous relationships, which could possibly stem from jealousy. The tone of the post is measured and factual, implying that while there might be some discomfort, it doesn't seem to be causing severe emotional turmoil for the poster."
"Consider this post: ""Long story short my family in NE Ohio is abusive as hell so I had to leave the state and stay with family down south. It isn't working out and they're sending me packing to Ohio because I guess I'm a financial problem even though I got a job here. I have nowhere I can stay. I'm even getting rid of my beloved cat so I can have options. I can't go back to my family in Ohio."" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The post conveys a series of traumatic and challenging experiences: facing abusive family members, needing to relocate, not having stable accommodation, facing financial challenges, and having to part with a beloved pet. The overall tone of the post is one of desperation and distress, suggesting that the poster is experiencing significant emotional and situational stress."
"Consider this post: ""Discovering LimeWire was like breathing in fresh mountain air in the early hours of the morning while there is dew glazed over the leaves on the trees and surrounding grass. I felt a real connection with Post Hardcore/ Alternative. During this time I knew of Anxiety, but I didn't know OF it. In other words, I considered it a personality trait and not something treatable, more or less just apart of me. Playing video games secluded in my room and swimming on a variety of swim teams kept me sane to an extent but I was living in an isolated bubble."" Question: Does the poster suffer from stress?","Yes, the poster suffers from stress. Reasoning: The poster mentions feeling a connection with genres like Post Hardcore/Alternative, which often tackle emotional and sometimes distressing topics. They also reference knowing of ""Anxiety"" and previously perceiving it as just a part of their personality rather than something treatable. This suggests they may have had unrecognized or untreated anxiety. The closing lines, where they talk about seclusion, playing video games, and swimming to ""keep sane,"" also hint at coping mechanisms to deal with underlying stress or emotional challenges."
"Consider this post: ""Hey ya'll. I'm okay. I'm trying to be okay with being okay. I've been trying lots of things lately, and I'm certainly seeing the results of my bravery. I've sobered up. I just got a job that I'm super motivated about, and I think after a few weeks I'll really be able to rock the shit out of it. All in all, I've learned a lot about self-care and self-love in the past month. In the grand scheme, I feel like I might finally be out of the rabbit hole, and can finally get my life moving again. But at the same time, I feel alone. I finally accept myself again, which is the most important step. But I feel like no one else wants to share the riches if found within myself. I'm a pretty cool guy, I make pretty cool music, and I'm pretty damn funny. But I have no one to sing for, and no one to make laugh. And as much as I appreciate my own company, it would be nice to have someone who values me as much as I do. That might come off as egotistical, but hey I'm a human being and yeah I have an ego. Sometimes I still need someone to take care of me, and I feel like I'm coming up short. I could really use a companion right about now. Some one to let me know that it truly is worth it to try to be the best version of myself. Someone more than my mom and my mirror. If you're alone tonight, I might be too. So let's maybe not be alone?"" Question: Does the post show risk of perceived burdensomeness?","No, the post does not show this risk. Reasoning: 1. The post does not directly mention feeling like a burden or having thoughts of being better off gone. It primarily focuses on the individual's self-improvement and positive changes in their life. 2. While the post does mention feeling alone and the desire for companionship, it does not express a belief that others would be better off without them or a sense of being a burden to others. The individual simply expresses a desire for someone who values and supports them. 3. The response also does not indicate any perceived burdensomeness. It is a empathetic statement expressing a shared experience of feeling alone and a desire to not be alone."
"Consider this post: ""Anyone gotten off this drug? I am reading the inter webs and having the crap scared out of me. Been on it about 18 months..."" Question: Does the post show risk of perceived burdensomeness?","No, the post does not show this risk. Reasoning: 1. The post does not directly mention any feelings of burden or thoughts of being better off gone. It is a question seeking information and support about getting off a specific drug. 2. While the post mentions being scared by the information found on the internet, it does not indicate any perceived burdensomeness. It is a natural concern about the potential consequences of stopping a medication."
"Consider this post: ""I sometimes overflood with emotions, i feel more anxious around this time.. its a warning sign to make me aware again of social situations i think. Its just part of who i am. I want to think less negative, and keep structure in my days"" Question: Does the post show risk of perceived burdensomeness?","No, the post does not show this risk. Reasoning: 1. The post mentions experiencing emotions and anxiety, but it does not directly indicate any thoughts or feelings of being a burden to others or better off gone. 2. The post expresses a desire to think less negatively and maintain structure in daily life, which suggests a proactive approach to managing mental health but does not necessarily imply perceived burdensomeness."
"Consider this post: ""excepting me, I wish to me one only more pain. I don't deserves for anything else. and probably my problems is so stupid and trivial. I probably just delete it's because it's just pile of shit, like me. So just skip this post, don't even vote..."" Question: Does the post show risk of thwarted belongingness?","No, the post does not show this risk. Reasoning: In the given post, the individual expresses self-deprecating thoughts and feelings, indicating low self-worth and potentially negative beliefs about themselves. However, the post does not specifically mention feelings of loneliness, isolation, or a lack of connectedness. While the individual may be experiencing mental disturbance, it is not necessarily related to inadequate connectedness."
"Consider this post: ""How do you explain depression to someone who just doesn‚Äôt get it or understand it at all?"" Question: Does the post show risk of perceived burdensomeness?","No, the post does not show this risk. Reasoning: 1. The post is asking for advice on how to explain depression to someone who doesn't understand it. It does not directly mention any feelings of burden or thoughts of being better off gone. 2. The response does not indicate any perceived burdensomeness. It is simply an empathetic statement expressing a desire to help someone understand depression better."
"Consider this post: ""I have no job, no friends and no girlfriend. All I do is play video games, hang with my dog and workout for an hour. I‚Äôm so bored with life. Worse part is I don‚Äôt wanna do anything. I don‚Äôt wanna socialize, don‚Äôt wanna go out, nothing really feels worthwhile and genuinely interesting. I‚Äôm almost 30 and life has lost all purpose. All I wait for is my next hour at the gym everyday."" Question: Does the post show risk of perceived burdensomeness?","No, the post does not show this risk. Reasoning: 1. While the post mentions feeling bored with life and lacking a sense of purpose, there is no explicit mention of feeling like a burden or that others would be better off without them. 2. The post does not express any negative self-perception or lack of self-worth, which are risk factors for perceived burdensomeness. 3. The post does mention a lack of interest in socializing and finding things worthwhile, but this does not necessarily indicate a desire to escape from perceived burdensomeness."
"Consider this post: ""Basically, I developed a really big crush on this girl. It was the only time I've ever seen my self being in a relationship. And get this! She had a crush on me too! I was so happy. I was going to ask her out last night at a NYE party, it's the only reason I went. But I missed my chance. Whatever, I'm hanging out with her and some other people tomorrow, I'll ask her then. Never-fucking-mind. I got a text from her a couple hours ago. She said she just wanted to be friends. I respected her, I didn't want to be a creep like a guy from r/incels. I told her I got it. I didn't get it. She liked me last night. I know she did. And today she didn't. I don't get now feelings for a person could come and go like that. The worst part? One text from a girl destroyed ever bit of progress I've made to better myself since November. I've been feeling good, maybe happy since then. I've been doing good, been free of self harm. Until today. The only thing that could get my mind of her was pain. I have to hang out with her and my friends tomorrow. They are probably going to see my fresh cuts. I just want to be clear, I still want to be her friend. But I still have a crush on her, despite what she made me do. All my old coping mechanisms didn't work. I can't get her out of my head. I can't stop thinking of it'd be different if I asked her out last night."" Question: Does the post show risk of perceived burdensomeness?","No, the post does not show this risk. Reasoning: 1. The post does not explicitly mention feeling like a burden or thoughts of being better off gone. Although the individual expresses disappointment and sadness over the rejection, there is no indication of perceived burdensomeness. 2. The post primarily focuses on the individual's experience of rejection, their struggle with self-harm, and their ongoing crush on the person. These factors do not directly relate to perceived burdensomeness."
"Consider this post: ""and things get really bad so that i can finally kill myself. I'm so sick of not able to kill myself because there is always this voice saying it's not that bad and not having enough courage because things are not that bad. There is no point anymore in trying so hard every year when nothing gets better. I'm so tired of living like this and waiting for nothing. And happy new year to everyone with mental illness and i hope this year turn out to be great for you all."" Question: Does the post show risk of perceived burdensomeness?","Yes, the post shows this risk. Reasoning: 1. The post explicitly mentions thoughts of killing oneself, expressing a desire to end one's life. This indicates a serious mental distress and a possible perception of burdensomeness, as the individual sees suicide as the solution to their struggles.
2. The post also mentions feeling tired of living like this and waiting for nothing. This suggests a sense of hopelessness and frustration, which can contribute to perceived burdensomeness.
3. Despite the negative feelings, the individual expresses well wishes to others with mental illness, which may indicate a desire for empathy and connection. However, this does not negate the presence of risk factors for perceived burdensomeness in the post."
"Consider this post: ""Called my friends. They're all too busy Called my family. They're all too busy Nobody can be here for me. Just feel like shit and need a fucking hug. Hug my pillow and hope tomorrow is better"" Question: Does the post show risk of thwarted belongingness?","Yes, the post shows this risk. Reasoning: 1. The individual mentions calling their friends and family, but both groups are described as being too busy to be there for them. This suggests a lack of support and connectedness from their social network.
2. The person expresses feeling like shit and the need for a hug, which indicates a desire for physical and emotional support that they currently lack.
3. The individual resorts to hugging their pillow, which can be seen as a substitute for the desired human connection. This further highlights their unmet need for belongingness and connectedness."
